Designator,Mid X,Mid Y,Rotation,Layer
C1,5.0,2.0,180.0,bottom
C2,11.5,8.5,90.0,bottom
C3,14.0,8.5,90.0,bottom
C8,3.5,5.5,180.0,top
D1,22.5,21.0,-90.0,bottom
J1,16.3,2.0,-90.0,top
J2,2.0,19.54,0.0,top
R1,22.5,15.0,90.0,bottom
R2,16.0,5.0,180.0,top
R3,16.0,9.0,180.0,top
R4,16.0,7.0,0.0,top
U1,5.0,7.5,180.0,bottom
U2,15.0,20.0,0.0,top
U5,10.0,7.0,180.0,top
